road_id,neighbor_road_id,issue,detail
52024,47783,linked_endpoint_z_gap,0.374176
52024,43110,linked_endpoint_z_gap,0.194752
52025,47783,linked_endpoint_z_gap,0.933799
52025,46842,linked_endpoint_z_gap,0.279992
52026,47783,linked_endpoint_z_gap,0.667798
52026,42330,linked_endpoint_z_gap,0.007131
52027,42486,linked_endpoint_z_gap,0.962
52027,42330,linked_endpoint_z_gap,0.488258
52028,42486,linked_endpoint_z_gap,0.089465
52028,43110,linked_endpoint_z_gap,0.090396
52029,42486,linked_endpoint_z_gap,0.334826
52029,46842,linked_endpoint_z_gap,0.014781
52030,47779,linked_endpoint_z_gap,0.264837
52030,46842,linked_endpoint_z_gap,0.11754
52031,47779,linked_endpoint_z_gap,0.182365
52031,42330,linked_endpoint_z_gap,0.645754
52032,42334,linked_endpoint_z_gap,0.108323
52032,46595,linked_endpoint_z_gap,0.055617
52033,42334,linked_endpoint_z_gap,0.089766
52033,46595,linked_endpoint_z_gap,0.07416
52034,46876,linked_endpoint_z_gap,0.036092
52034,46639,linked_endpoint_z_gap,0.016564
52035,46876,linked_endpoint_z_gap,0.011012
52035,46595,linked_endpoint_z_gap,0.078404
52036,51972,linked_endpoint_z_gap,0.133589
52036,46639,linked_endpoint_z_gap,0.082625
52037,50586,linked_endpoint_z_gap,0.269745
52037,46707,linked_endpoint_z_gap,0.135204
52038,50586,linked_endpoint_z_gap,0.015954
52038,51970,linked_endpoint_z_gap,0.058957
52039,50586,linked_endpoint_z_gap,0.262559
52039,45556,linked_endpoint_z_gap,0.093903
52040,46592,linked_endpoint_z_gap,0.038743
52040,45556,linked_endpoint_z_gap,0.074812
52041,46592,linked_endpoint_z_gap,0.09322
52041,46707,linked_endpoint_z_gap,0.098527
52042,46592,linked_endpoint_z_gap,0.221894
52042,51970,linked_endpoint_z_gap,0.141502
52043,42379,linked_endpoint_z_gap,0.078358
52043,51970,linked_endpoint_z_gap,0.180421
52044,42379,linked_endpoint_z_gap,0.083522
52044,45556,linked_endpoint_z_gap,0.136416
52045,47625,linked_endpoint_z_gap,0.227264
52045,43004,linked_endpoint_z_gap,0.113723
52046,47625,linked_endpoint_z_gap,0.015294
52046,47626,linked_endpoint_z_gap,0.049051
52047,47627,linked_endpoint_z_gap,0.085015
52047,47626,linked_endpoint_z_gap,0.091509
52048,43004,linked_endpoint_z_gap,0.056917
52048,50518,linked_endpoint_z_gap,0.085371
52049,43004,linked_endpoint_z_gap,0.028458
52049,50518,linked_endpoint_z_gap,0.11383
52050,51387,linked_endpoint_z_gap,0.085194
52050,47627,linked_endpoint_z_gap,0.0
52051,51387,linked_endpoint_z_gap,0.080098
52051,50518,linked_endpoint_z_gap,0.175216
52052,47628,linked_endpoint_z_gap,0.090794
52052,43005,linked_endpoint_z_gap,0.042246
52053,43005,linked_endpoint_z_gap,0.040688
52053,45983,linked_endpoint_z_gap,0.039154
52054,51130,linked_endpoint_z_gap,0.096995
52054,47628,linked_endpoint_z_gap,0.0
52055,48083,linked_endpoint_z_gap,0.119948
